,task_id,problem,seed,success,test_cases_passed,test_cases_total,runtime,local_tests,local_test_state,iteration_idx
10,rearranging-fruits,"
from typing import List
from collections import Counter

def minCost(basket1: List[int], basket2: List[int]) -> int:
    count1 = Counter(basket1)
    count2 = Counter(basket2)
    
    # Check if it's possible to make both baskets equal
    for fruit in set(basket1 + basket2):
        if (count1[fruit] + count2[fruit]) % 2 != 0:
            return -1
    
    # Calculate the minimum cost to make both baskets equal
    swaps = []
    for fruit in set(basket1 + basket2):
        diff = abs(count1[fruit] - count2[fruit]) // 2
        if count1[fruit] > count2[fruit]:
            swaps.extend([fruit] * diff)
        elif count2[fruit] > count1[fruit]:
            swaps.extend([fruit] * diff)
    
    swaps.sort()
    min_cost = 0
    for i in range(len(swaps) // 2):
        min_cost += swaps[i]
    
    return min_cost
",55,False,20,40,,"**Tests that the code passed:**

assert minCost([4,2,2,2], [1,4,1,2]) == 1
assert minCost([2,3,4,1], [3,2,5,1]) == -1

**Tests that the code failed:**

No tests failed.
","(True, True)",0
11,rearranging-fruits,"from typing import List
from collections import Counter
import heapq

def minCost(basket1: List[int], basket2: List[int]) -> int:
    count1 = Counter(basket1)
    count2 = Counter(basket2)
    
    # Check if it's possible to make both baskets equal
    for fruit in set(count1.keys()).union(set(count2.keys())):
        if (count1[fruit] + count2[fruit]) % 2 != 0:
            return -1
    
    # Calculate the minimum cost to make both baskets equal
    swaps = []
    for fruit in set(count1.keys()).union(set(count2.keys())):
        diff = abs(count1[fruit] - count2[fruit]) // 2
        if count1[fruit] > count2[fruit]:
            swaps.extend([fruit] * diff)
        elif count2[fruit] > count1[fruit]:
            swaps.extend([fruit] * diff)
    
    # Use a heap to find the smallest half of the swap costs
    heapq.heapify(swaps)
    min_cost = 0
    for _ in range(len(swaps) // 2):
        min_cost += heapq.heappop(swaps)
    
    return min_cost",55,False,20,40,,"**Tests that the code passed:**

assert minCost([4,2,2,2], [1,4,1,2]) == 1
assert minCost([2,3,4,1], [3,2,5,1]) == -1

**Tests that the code failed:**

No tests failed.
","(True, True)",1
12,lexicographically-smallest-beautiful-string,"
def smallestBeautifulString(s: str, k: int) -> str:
    def is_beautiful(s: str) -> bool:
        for i in range(len(s) - 1):
            if s[i] == s[i + 1]:
                return False
        for i in range(len(s) - 2):
            if s[i] == s[i + 2]:
                return False
        return True

    n = len(s)
    s = list(s)
    for i in range(n - 1, -1, -1):
        for j in range(ord(s[i]) - ord('a') + 1, k):
            s[i] = chr(ord('a') + j)
            if is_beautiful(s[:i + 1]):
                for l in range(i + 1, n):
                    for m in range(k):
                        s[l] = chr(ord('a') + m)
                        if is_beautiful(s[:l + 1]):
                            break
                return ''.join(s)
    return """"
",55,False,1042,1054,,"**Tests that the code passed:**

assert smallestBeautifulString(""abcz"", 26) == ""abda""
assert smallestBeautifulString(""dc"", 4) == """"

**Tests that the code failed:**

No tests failed.
","(True, True)",0
13,lexicographically-smallest-beautiful-string,"def smallestBeautifulString(s: str, k: int) -> str:
    def is_beautiful(s: str, pos: int) -> bool:
        if pos > 0 and s[pos] == s[pos - 1]:
            return False
        if pos > 1 and s[pos] == s[pos - 2]:
            return False
        return True

    n = len(s)
    s = list(s)
    for i in range(n - 1, -1, -1):
        for j in range(ord(s[i]) - ord('a') + 1, k):
            s[i] = chr(ord('a') + j)
            if is_beautiful(s, i):
                valid = True
                for l in range(i + 1, n):
                    found = False
                    for m in range(k):
                        s[l] = chr(ord('a') + m)
                        if is_beautiful(s, l):
                            found = True
                            break
                    if not found:
                        valid = False
                        break
                if valid:
                    return ''.join(s)
    return """"",55,True,1054,1054,249 ms,"**Tests that the code passed:**

assert smallestBeautifulString(""abcz"", 26) == ""abda""
assert smallestBeautifulString(""dc"", 4) == """"

**Tests that the code failed:**

No tests failed.
","(True, True)",1
14,count-increasing-quadruplets,"
def countQuadruplets(nums: List[int]) -> int:
    n = len(nums)
    count = 0
    
    for i in range(n - 3):
        for j in range(i + 1, n - 2):
            for k in range(j + 1, n - 1):
                for l in range(k + 1, n):
                    if nums[i] < nums[k] < nums[j] < nums[l]:
                        count += 1
                        
    return count
",55,False,63,121,,"**Tests that the code passed:**

assert countQuadruplets([1,3,2,4,5]) == 2
assert countQuadruplets([1,2,3,4]) == 0

**Tests that the code failed:**

No tests failed.
","(True, True)",0
15,count-increasing-quadruplets,"from typing import List

def countQuadruplets(nums: List[int]) -> int:
    n = len(nums)
    count = 0
    
    # Use a more efficient approach to count valid quadruplets
    for i in range(n - 3):
        for j in range(i + 1, n - 2):
            for k in range(j + 1, n - 1):
                if nums[i] < nums[k]:
                    for l in range(k + 1, n):
                        if nums[k] < nums[j] < nums[l]:
                            count += 1
    
    return count",55,False,66,121,,"**Tests that the code passed:**

assert countQuadruplets([1,3,2,4,5]) == 2
assert countQuadruplets([1,2,3,4]) == 0

**Tests that the code failed:**

No tests failed.
","(True, True)",1
16,put-marbles-in-bags,"
from typing import List

def putMarbles(weights: List[int], k: int) -> int:
    n = len(weights)
    if k == 1:
        return 0
    
    # Calculate the cost of each possible bag
    costs = [weights[i] + weights[i + 1] for i in range(n - 1)]
    
    # Sort the costs to find the minimum and maximum possible scores
    costs.sort()
    
    # The minimum score is the sum of the smallest k-1 costs
    min_score = sum(costs[:k-1])
    
    # The maximum score is the sum of the largest k-1 costs
    max_score = sum(costs[-(k-1):])
    
    return max_score - min_score
",55,True,103,103,541 ms,"**Tests that the code passed:**

assert putMarbles([1,3,5,1], 2) == 4
assert putMarbles([1,3], 2) == 0

**Tests that the code failed:**

No tests failed.
","(True, True)",0
17,put-marbles-in-bags,"from typing import List

def putMarbles(weights: List[int], k: int) -> int:
    n = len(weights)
    if k == 1 or k == n:
        return 0
    
    # Calculate the cost of each possible bag
    costs = [weights[i] + weights[i + 1] for i in range(n - 1)]
    
    # Sort the costs to find the minimum and maximum possible scores
    costs.sort()
    
    # The minimum score is the sum of the smallest k-1 costs
    min_score = sum(costs[:k-1])
    
    # The maximum score is the sum of the largest k-1 costs
    max_score = sum(costs[-(k-1):])
    
    return max_score - min_score",55,True,103,103,549 ms,"**Tests that the code passed:**

assert putMarbles([1,3,5,1], 2) == 4
assert putMarbles([1,3], 2) == 0

**Tests that the code failed:**

No tests failed.
","(True, True)",1
18,shortest-cycle-in-a-graph,"
from typing import List
from collections import deque, defaultdict

def findShortestCycle(n: int, edges: List[List[int]]) -> int:
    graph = defaultdict(list)
    for u, v in edges:
        graph[u].append(v)
        graph[v].append(u)
    
    def bfs(start):
        dist = [-1] * n
        dist[start] = 0
        queue = deque([(start, -1)])
        while queue:
            node, parent = queue.popleft()
            for neighbor in graph[node]:
                if dist[neighbor] == -1:
                    dist[neighbor] = dist[node] + 1
                    queue.append((neighbor, node))
                elif neighbor != parent:
                    return dist[node] + dist[neighbor] + 1
        return float('inf')
    
    shortest_cycle = float('inf')
    for i in range(n):
        shortest_cycle = min(shortest_cycle, bfs(i))
    
    return shortest_cycle if shortest_cycle != float('inf') else -1
",55,False,84,88,,"**Tests that the code passed:**

assert findShortestCycle(7, [[0,1],[1,2],[2,0],[3,4],[4,5],[5,6],[6,3]]) == 3
assert findShortestCycle(4, [[0,1],[0,2]]) == -1

**Tests that the code failed:**

No tests failed.
","(True, True)",0
19,shortest-cycle-in-a-graph,"from typing import List
from collections import deque, defaultdict
import heapq

def findShortestCycle(n: int, edges: List[List[int]]) -> int:
    graph = defaultdict(list)
    for u, v in edges:
        graph[u].append(v)
        graph[v].append(u)
    
    def bfs(start):
        dist = [-1] * n
        dist[start] = 0
        queue = deque([(start, -1)])
        shortest_cycle = float('inf')
        while queue:
            node, parent = queue.popleft()
            for neighbor in graph[node]:
                if dist[neighbor] == -1:
                    dist[neighbor] = dist[node] + 1
                    queue.append((neighbor, node))
                elif neighbor != parent:
                    shortest_cycle = min(shortest_cycle, dist[node] + dist[neighbor] + 1)
        return shortest_cycle
    
    shortest_cycle = float('inf')
    for i in range(n):
        shortest_cycle = min(shortest_cycle, bfs(i))
    
    return shortest_cycle if shortest_cycle != float('inf') else -1",55,True,88,88,1422 ms,"**Tests that the code passed:**

assert findShortestCycle(7, [[0,1],[1,2],[2,0],[3,4],[4,5],[5,6],[6,3]]) == 3
assert findShortestCycle(4, [[0,1],[0,2]]) == -1

**Tests that the code failed:**

No tests failed.
","(True, True)",1
20,minimum-time-to-complete-all-tasks,"
from typing import List

def findMinimumTime(tasks: List[List[int]]) -> int:
    tasks.sort(key=lambda x: x[1])
    time_on = [0] * 2001
    total_time = 0

    for start, end, duration in tasks:
        current_duration = sum(time_on[start:end+1])
        remaining_duration = duration - current_duration

        if remaining_duration > 0:
            for t in range(end, start-1, -1):
                if time_on[t] == 0:
                    time_on[t] = 1
                    total_time += 1
                    remaining_duration -= 1
                    if remaining_duration == 0:
                        break

    return total_time
",55,True,1059,1059,303 ms,"**Tests that the code passed:**

assert findMinimumTime([[2,3,1],[4,5,1],[1,5,2]]) == 2
assert findMinimumTime([[1,3,2],[2,5,3],[5,6,2]]) == 4

**Tests that the code failed:**

No tests failed.
","(True, True)",0
21,minimum-time-to-complete-all-tasks,"from typing import List

def findMinimumTime(tasks: List[List[int]]) -> int:
    tasks.sort(key=lambda x: x[1])
    time_on = [0] * 2001
    total_time = 0

    for start, end, duration in tasks:
        current_duration = sum(time_on[start:end+1])
        remaining_duration = duration - current_duration

        if remaining_duration > 0:
            for t in range(end, start-1, -1):
                if time_on[t] == 0:
                    time_on[t] = 1
                    total_time += 1
                    remaining_duration -= 1
                    if remaining_duration == 0:
                        break

    return total_time",55,True,1059,1059,305 ms,"**Tests that the code passed:**

assert findMinimumTime([[2,3,1],[4,5,1],[1,5,2]]) == 2
assert findMinimumTime([[1,3,2],[2,5,3],[5,6,2]]) == 4

**Tests that the code failed:**

No tests failed.
","(True, True)",1
22,count-number-of-possible-root-nodes,"
from collections import defaultdict, deque
from typing import List

def rootCount(edges: List[List[int]], guesses: List[List[int]], k: int) -> int:
    def build_tree(edges):
        tree = defaultdict(list)
        for u, v in edges:
            tree[u].append(v)
            tree[v].append(u)
        return tree

    def dfs(node, parent):
        for neighbor in tree[node]:
            if neighbor != parent:
                parent_map[neighbor] = node
                dfs(neighbor, node)

    def count_correct_guesses(root):
        correct_count = 0
        for u, v in guesses:
            if parent_map[v] == u:
                correct_count += 1
        return correct_count

    n = len(edges) + 1
    tree = build_tree(edges)
    parent_map = [-1] * n

    # Arbitrarily choose node 0 as the initial root
    dfs(0, -1)

    possible_roots = 0
    for i in range(n):
        if count_correct_guesses(i) >= k:
            possible_roots += 1

    return possible_roots
",55,False,35,51,,"**Tests that the code passed:**

assert rootCount([[0,1],[1,2],[2,3],[3,4]], [[1,0],[3,4],[2,1],[3,2]], 1) == 5

**Tests that the code failed:**

assert rootCount([[0,1],[1,2],[1,3],[4,2]], [[1,3],[0,1],[1,0],[2,4]], 3) == 3 # ERROR: This unit test fails. Output was 5, but expected value was: 3","(False, True)",0
23,count-number-of-possible-root-nodes,"from collections import defaultdict, deque
from typing import List

def rootCount(edges: List[List[int]], guesses: List[List[int]], k: int) -> int:
    def build_tree(edges):
        tree = defaultdict(list)
        for u, v in edges:
            tree[u].append(v)
            tree[v].append(u)
        return tree

    def dfs(node, parent, parent_map):
        for neighbor in tree[node]:
            if neighbor != parent:
                parent_map[neighbor] = node
                dfs(neighbor, node, parent_map)

    def count_correct_guesses(root, parent_map):
        correct_count = 0
        for u, v in guesses:
            if parent_map[v] == u:
                correct_count += 1
        return correct_count

    n = len(edges) + 1
    tree = build_tree(edges)
    possible_roots = 0

    for i in range(n):
        parent_map = [-1] * n
        dfs(i, -1, parent_map)
        if count_correct_guesses(i, parent_map) >= k:
            possible_roots += 1

    return possible_roots",55,False,0,0,-1,"**Tests that the code passed:**

assert rootCount([[0,1],[1,2],[1,3],[4,2]], [[1,3],[0,1],[1,0],[2,4]], 3) == 3
assert rootCount([[0,1],[1,2],[2,3],[3,4]], [[1,0],[3,4],[2,1],[3,2]], 1) == 5

**Tests that the code failed:**

No tests failed.
","(True, True)",1
24,number-of-ways-to-earn-points,"
from typing import List

def waysToReachTarget(target: int, types: List[List[int]]) -> int:
    MOD = 10**9 + 7
    
    # Initialize dp array where dp[i] will be the number of ways to get i points
    dp = [0] * (target + 1)
    dp[0] = 1  # There's one way to get 0 points: answer no questions
    
    for count, marks in types:
        # We need to update dp array for each type of question
        new_dp = dp[:]
        for t in range(target + 1):
            for k in range(1, count + 1):
                if t + k * marks <= target:
                    new_dp[t + k * marks] = (new_dp[t + k * marks] + dp[t]) % MOD
                else:
                    break
        dp = new_dp
    
    return dp[target]
",55,True,63,63,1424 ms,"**Tests that the code passed:**

assert waysToReachTarget(6, [[6,1],[3,2],[2,3]]) == 7
assert waysToReachTarget(5, [[50,1],[50,2],[50,5]]) == 4
assert waysToReachTarget(18, [[6,1],[3,2],[2,3]]) == 1

**Tests that the code failed:**

No tests failed.
","(True, True, True)",0
25,number-of-ways-to-earn-points,"from typing import List

def waysToReachTarget(target: int, types: List[List[int]]) -> int:
    MOD = 10**9 + 7
    
    # Initialize dp array where dp[i] will be the number of ways to get i points
    dp = [0] * (target + 1)
    dp[0] = 1  # There's one way to get 0 points: answer no questions
    
    for count, marks in types:
        # We need to update dp array for each type of question
        new_dp = dp[:]
        for current_score in range(target + 1):
            for question_count in range(1, count + 1):
                if current_score + question_count * marks <= target:
                    new_dp[current_score + question_count * marks] = (new_dp[current_score + question_count * marks] + dp[current_score]) % MOD
                else:
                    break
        dp = new_dp
    
    return dp[target]",55,True,63,63,1403 ms,"**Tests that the code passed:**

assert waysToReachTarget(6, [[6,1],[3,2],[2,3]]) == 7
assert waysToReachTarget(5, [[50,1],[50,2],[50,5]]) == 4
assert waysToReachTarget(18, [[6,1],[3,2],[2,3]]) == 1

**Tests that the code failed:**

No tests failed.
","(True, True, True)",1
26,split-the-array-to-make-coprime-products,"
from typing import List
from math import gcd
from functools import reduce

def findValidSplit(nums: List[int]) -> int:
    def product(arr):
        return reduce(lambda x, y: x * y, arr, 1)
    
    n = nums.length
    for i in range(n - 1):
        left_product = product(nums[:i + 1])
        right_product = product(nums[i + 1:])
        if gcd(left_product, right_product) == 1:
            return i
    return -1
",55,False,29,75,,"**Tests that the code passed:**

No tests passed.


**Tests that the code failed:**

assert findValidSplit([4,7,8,15,3,5]) == 2 # ERROR: This unit test fails because the function generated: 'list' object has no attribute 'length'.
assert findValidSplit([4,7,15,8,3,5]) == -1 # ERROR: This unit test fails because the function generated: 'list' object has no attribute 'length'.","(False, False)",0
27,split-the-array-to-make-coprime-products,"from typing import List
from math import gcd
from functools import reduce

def findValidSplit(nums: List[int]) -> int:
    def product(arr):
        return reduce(lambda x, y: x * y, arr, 1)
    
    n = len(nums)
    left_product = 1
    right_product = product(nums)
    
    for i in range(n - 1):
        left_product *= nums[i]
        right_product //= nums[i]
        if gcd(left_product, right_product) == 1:
            return i
    return -1",55,False,31,75,,"**Tests that the code passed:**

assert findValidSplit([4,7,8,15,3,5]) == 2
assert findValidSplit([4,7,15,8,3,5]) == -1

**Tests that the code failed:**

No tests failed.
","(True, True)",1
